lineName,time,price,campony,upline,downline
北京快速直达专线133(跨省)公交车路线,运行时间：大厂民族宫 工作日6:00、16:20 周六日、节假日停驶|大郊亭桥东 工作日7:40、18:00 周六日、节假日停驶,参考票价：单一票价25元，刷卡购票优惠票价20元。各类免票证件无效。,北京公交集团第五客运分公司(服务热线:010-61502660),大厂民族宫-大厂文教局-大厂西大街-大厂新医院-大厂交通局-大厂北辰路西口-大厂中医医院-大厂三村-王必屯-大郊亭桥东,大郊亭桥东-王必屯-大厂三村-大厂中医医院-大厂北辰路西口-大厂交通局-大厂新医院-大厂西大街-大厂文教局-大厂民族宫
北京快速直达专线167(跨省)公交车路线,运行时间：早安北京小区 工作日6:30、6:50、7:10、18:30 周六日、节假日停驶|土桥村 工作日7:50、19:00、19:30、20:00 周六日、节假日停驶,参考票价：单一票价10元，刷卡购票优惠票价5元。各类免票证件无效。,北京公交集团第五客运分公司(服务热线:010-61502660),早安北京小区-凝香园-大厂创业大厦-八百户-雅清园-雅琴园-潮白家园二期-兴各庄-甘棠桥西-大豆各庄-梁各庄-土桥村,土桥村-梁各庄-大豆各庄-甘棠桥西-兴各庄-潮白家园二期-雅琴园-雅清园-八百户-大厂创业大厦-凝香园-早安北京小区
北京快速直达专线24支公交车路线,运行时间：黄辛庄 工作日7:20、7:40、8:40、9:00 周六日、节假日停驶|云岗 工作日17:40、18:00、19:00、19:20 周六日、节假日停驶,参考票价：单一票价5元，刷卡购票优惠票价3元。各类免票证件无效。,北京公交集团第三客运分公司(服务热线:010-67606970),黄辛庄-长阳路口-长阳环岛南-南宫迎宾路南站-南宫迎宾路-世界地热博览园-王佐镇政府-南宫-南宫北站-云岗,云岗-南宫北站-南宫-王佐镇政府-世界地热博览园-南宫迎宾路-南宫迎宾路南站-长阳环岛南-长阳路口-黄辛庄
北京快速公交4线(BRT4)公交车路线,运行时间：龙泉西公交场站5:00-22:30|阜成门5:30-23:00,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。最高票价6元。,北京公交集团第四客运分公司(服务热线:010-68683295),龙泉西公交场站-中门寺街-门头沟教委小区-双峪-侯庄子-麻峪-石景山火车站-广宁村-金安桥-杨庄-杨庄东-龚村东口-砂石路口-阜玉路口-阜永路口西-西钓鱼台-白堆子口东-展览路-阜成门,阜成门-展览路-白堆子口西-西钓鱼台-阜永路口西-阜玉路口-砂石路口-龚村东口-杨庄东-杨庄-金安桥-广宁村-石景山火车站-麻峪-侯庄子-双峪-门头沟教委小区-中门寺街-龙泉西公交场站
北京兴71路公交车路线,运行时间：星光佳园 外环去程6:00-10:00、16:00-21:00|内环回程6:00-10:00、16:00-21:00,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。,北京市兴顺达客运有限责任公司(服务热线:010-60213178),星光佳园-西红门医院-九龙家园东区-九龙家园-九龙山庄-欣旺北大街北口-兴都苑北门-宏盛家园-日苑东门-兴海公园-宏福路-地铁西红门站-瑞海二区南门-月桂家园南门-宏业路-欣荣南大街-星光佳园,星光佳园-欣荣南大街-宏业路-月桂家园南门-瑞海二区南门-地铁西红门站-宏福路-兴海公园-日苑东门-宏盛家园-兴都苑北门-欣旺北大街北口-九龙山庄-九龙家园-九龙家园东区-西红门医院-星光佳园
北京810快车(跨省)公交车路线,运行时间：富力新城7:00、8:00、16:30、17:30|大郊亭桥东8:30、9:30、18:00、19:00,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车市内路段普通卡5折、学生卡2.5折，市外路段8折优惠。最高票价11元。,北京公交集团第五客运分公司(服务热线:010-61502660),富力新城-香河北收费站-大郊亭桥东,大郊亭桥东-香河北收费站-富力新城
北京805快车(跨省)公交车路线,运行时间：廊坊5:10-18:30|庆丰公园7:10-20:30,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车市内路段普通卡5折、学生卡2.5折，市外路段8折优惠。最高票价13元。,北京公交集团第五客运分公司(服务热线:010-61502660),廊坊-廊坊会展中心-廊坊大学城南门-廊坊大学城东门-廊坊开发区高速路口-南营路口-小甸屯-三垡南口-柴厂屯东口-德仁务南口-松榆东里南门-潘家园桥北-双井桥南-大北窑南,庆丰公园-双井桥南-潘家园桥北-松榆东里南门-德仁务南口-柴厂屯东口-三垡南口-小甸屯-南营路口-廊坊开发区高速路口-廊坊大学城东门-廊坊大学城南门-廊坊会展中心-廊坊
北京898路(跨省)公交车路线,运行时间：涿鹿丁堡5:00-17:00|朱辛庄公交场站6:30-17:30,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车市内路段普通卡5折、学生卡2.5折，市外路段8折优惠。最高票价25元。,北京公交集团第八客运分公司(服务热线:010-69143266),涿鹿丁堡-地铁朱辛庄站,朱辛庄公交场站-涿鹿轩辕路
北京899路(跨省)公交车路线,运行时间：下花园5:00-17:00|朱辛庄公交场站5:30-17:30,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车市内路段普通卡5折、学生卡2.5折，市外路段8折优惠。最高票价24元。,北京公交集团第八客运分公司(服务热线:010-69143266),下花园-昌平西关环岛西(北郝庄)-地铁朱辛庄站,朱辛庄公交场站-昌平西关环岛西(北郝庄)-下花园
北京880快车(跨省)公交车路线,运行时间：沙城客运站5:00-18:00|地铁回龙观站6:20-18:00,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车市内路段普通卡5折、学生卡2.5折，市外路段8折优惠。最高票价20元。,北京公交集团第八客运分公司(服务热线:010-69143266),沙城客运站-地铁回龙观站,地铁回龙观站-沙城客运站
北京893路(跨省)公交车路线,运行时间：天洋城总站5:20-20:50|地铁潞城站6:30-22:00,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车市内路段普通卡5折、学生卡2.5折，市外路段8折优惠。最高票价4元。,北京公交集团第五客运分公司(服务热线:010-61502660),天洋城总站-燕京航城北-燕京新城-世纪名苑-意华小区-东方夏威夷小区西-星罗城-欧逸丽庭-通州白庙-通州白庙新村-召里-召里南-后北营-后北营南-前北营-东夏园路口东-地铁潞城站,地铁潞城站-东夏园路口北-前北营-后北营-召里南-召里-通州白庙新村-通州白庙-欧逸丽庭-星罗城-东方夏威夷小区西-意华小区-世纪名苑-燕京新城-燕京航城北-天洋城总站
北京894路(跨省)公交车路线,运行时间：夏威夷蓝湾小区5:30-9:10、17:20-20:00|地铁潞城站6:35-8:40、17:00-20:30,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车市内路段普通卡5折、学生卡2.5折，市外路段8折优惠。最高票价4元。,北京公交集团第五客运分公司(服务热线:010-61502660),夏威夷蓝湾小区-天洋城四代-东蔡各庄-燕郊三街-燕郊行宫花园-燕灵路口-兴达广场小区-召里-召里南-后北营-后北营南-前北营-东夏园路口东-地铁潞城站,地铁潞城站-东夏园路口北-前北营-后北营-召里南-召里-兴达广场小区-燕灵路口-燕郊行宫花园-燕郊三街-东蔡各庄-天洋城四代-夏威夷蓝湾小区
北京815快(跨省)公交车路线,运行时间：诸葛店4:50-21:00|八王坟东5:50-22:00,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车市内路段普通卡5折、学生卡2.5折，市外路段8折优惠。最高票价8元。,北京公交集团第五客运分公司(服务热线:010-61502660),诸葛店-美林小区北门-美林小区南门-星河皓月小区北门-星河皓月小区南门-燕京新城-世纪名苑-意华小区-东方夏威夷小区西-欧逸丽庭-郎家园,八王坟东-欧逸丽庭-东方夏威夷小区西-意华小区-世纪名苑-燕京新城-星河皓月小区南门-星河皓月小区北门-美林小区南门-美林小区北门-诸葛店
